,"dateUpdated","timeUpdated","brand","categories","colors","name","isSale","offer"
"AWo0iaYbM263mwCq50zv","2019-04-19","2019-04-19T07:08:56Z","white-mountain","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black Leather","women's white mountain loyal",,"Online only: 32% off"
"AWo0iLI1JbEilcB6MTmo","2019-04-19","2019-04-19T07:08:55Z","White Mountain","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black Embossed Fabric","Women's White Mountain Davenport Ankle Boot",,"Online only: 54% off"
"AWo0gmvPJbEilcB6MS1t","2019-04-19","2019-04-19T07:08:55Z","Alfani","Womens Shoes,Clothing,All Womens Shoes,Shoes","Ink Suede","Alfani Womens Viollet Suede Suede Closed Toe Ankle Fashion Boots",,"Online only: 54% off"
"AWo0gd_90U_gzG0hezNi","2019-04-19","2019-04-19T07:08:55Z","White Mountain","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black Embossed Fabric","Women's White Mountain Davenport Ankle Boot",,"Online only"
"AWo0e1-bAGTnQPR7q_ct","2019-04-19","2019-04-19T07:08:55Z","Alfani","Womens Shoes,Clothing,All Womens Shoes,Shoes","Mulberry","Alfani Womens Viollet Suede Suede Closed Toe Ankle Fashion Boots",,"Online only: 32% off"
"AWo0f2LXAGTnQPR7q_53","2019-04-19","2019-04-19T07:08:45Z","Brinley Co.","Clothing,Shoes,Womens Shoes,All Womens Shoes","Grey","Womens Faux Suede Mid-calf Stacked Wood Heel Boots",,"Online only: 44% off"
"AWo0gXIOAGTnQPR7rAI0","2019-04-19","2019-04-19T07:08:44Z","Avia","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","Avia Womens Rove Athletic Sneakers",,"Online only"
"AWo0fDrrJbEilcB6MSID","2019-04-19","2019-04-19T07:08:44Z","Avia","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","Avia Womens Rove Athletic Sneakers",,"Online only"
"AWo0gc0XM263mwCq5z3B","2019-04-19","2019-04-19T07:08:44Z","Brinley Co.","Clothing,Shoes,Womens Shoes,All Womens Shoes","Stone","Womens Faux Suede Mid-calf Stacked Wood Heel Boots",,"Online only: 44% off"
"AWo0gqb6JbEilcB6MS36","2019-04-19","2019-04-19T07:08:43Z","Brinley Co.","Clothing,Shoes,Womens Shoes,All Womens Shoes","Brown","Womens Faux Suede Mid-calf Stacked Wood Heel Boots",,"Online only: 44% off"
"AWo0fZtkM263mwCq5zaE","2019-04-19","2019-04-19T07:08:39Z","White Mountain","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","White Mountain Raymond Women Round Toe Boots",,"Online only: 38% off"
"AWo0fZQg0U_gzG0heyvb","2019-04-19","2019-04-19T07:08:39Z","White Mountain","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Fabric","White Mountain Raymond Women Round Toe Boots",,"Online only: 80% off"
"AWo0f-RGM263mwCq5zpR","2019-04-19","2019-04-19T07:08:39Z","White Mountain","Clothing,Shoes,Womens Shoes,All Womens Shoes","Cognac","White Mountain Raymond Women Round Toe Boots",,"Online only"
"AWo0huZkM263mwCq50f0","2019-04-19","2019-04-19T07:08:38Z","Rampage","Clothing,Shoes,Womens Shoes,All Womens Shoes","cognac smooth","Rampage Womens Hansel Closed Toe Knee High Fashion Boots",,"Online only"
"AWo0gDq6M263mwCq5zrJ","2019-04-19","2019-04-19T07:08:37Z","White Mountain","Womens Shoes,Clothing,All Womens Shoes,Shoes","Tobacco Pebble Grain Fabric","White Mountain Shoes Taite Women's Boot",,"Online only: 67% off"
"AWo0iemQ0U_gzG0he0Lw","2019-04-19","2019-04-19T07:08:35Z","Rampage","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dark Brown/Black","Womens Ivelia Almond Toe Knee High Riding Boots",,"Online only"
"AWo0ilp70U_gzG0he0P8","2019-04-19","2019-04-19T07:08:34Z","Spring Step","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dark Brown Leather","Women's Spring Step Jaru Bootie",,"Online only"
"AWo0hyF5M263mwCq50hy","2019-04-19","2019-04-19T07:08:33Z","ELLIE","Womens Shoes,Clothing,All Womens Shoes,Shoes","Orange","Ellie Shoes E-Gogo-N 3 Gogo Boots Neon With Zipper 5 / Yellow",,"Online only"
"AWo0fyKxM263mwCq5zjZ","2019-04-19","2019-04-19T07:08:32Z","ellie","Womens Shoes,Clothing,All Womens Shoes,Shoes","Yellow","4 Inch High Heel Boots Neon Knee High Boots Black Light Reactive Nightclub Shoe",,"Online only: 21% off"
"AWo0ijhSAGTnQPR7rBPv","2019-04-19","2019-04-19T07:08:32Z","Wild Rose","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Wild Rose BK55 Women Patent Leatherette Chains Open Toe Ankle Strap Stiletto Heel Sandal",,"Online only"
"AWo0mqQBM263mwCq51a4","2019-04-19","2019-04-19T07:08:30Z","Funtasma","Clothing,Shoes,Womens Shoes,All Womens Shoes","White Stretch Pat","GOGO-300FL Women's Block Heel Knee High Boots",,"Online only"
"AWo0fMcc0U_gzG0heyqd","2019-04-19","2019-04-19T07:08:29Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Silver Glitter Polyurethane","Women's Pleaser Appeal 20G Pointed-Toe Pump",,"Online only"
"AWo0hQyz0U_gzG0hezm5","2019-04-19","2019-04-19T07:08:28Z","Luichiny","Clothing,Shoes,Womens Shoes,All Womens Shoes","Ruby Imi Suede","Women's Luichiny Great Lee",,"Online only: 67% off"
"AWo0hgVP0U_gzG0hezvL","2019-04-19","2019-04-19T07:08:28Z","Luichiny","Clothing,Shoes,Womens Shoes,All Womens Shoes","Ruby Imi Suede","Women's Luichiny Great Lee",,"Online only: 67% off"
"AWo0h6Ai0U_gzG0hez7q","2019-04-19","2019-04-19T07:08:28Z","Luichiny","Clothing,Shoes,Womens Shoes,All Womens Shoes","Mustard Imi Suede","Women's Luichiny Great Lee",,"Online only"
"AWo0hSmaM263mwCq50Rl","2019-04-19","2019-04-19T07:08:28Z","Luichiny","Clothing,Shoes,Womens Shoes,All Womens Shoes","Chamois Imi Leather","Women's Luichiny Anna May Bootie",,"Online only"
"AWo0f6CYJbEilcB6MShj","2019-04-19","2019-04-19T07:08:27Z","L'Artiste by Spring Step","Clothing,Shoes,Womens Shoes,All Womens Shoes","Grey Multi Leather","Women's L'Artiste by Spring Step Avonora Slingback",,"Online only"
"AWo0kFqRM263mwCq51H8","2019-04-19","2019-04-19T07:08:26Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Stretch Pu and Black Matte","Adore-3000, 6 1/2'' Plain Stretch Thigh Boot",,"Online only"
"AWo0h_iR0U_gzG0hez9i","2019-04-19","2019-04-19T07:08:26Z","Fergalicious","Clothing,Shoes,Womens Shoes,All Womens Shoes","Sand Oiled Fabric","Fergalicious Womens Paisley Closed Toe Ankle Fashion Boots",,"Online only: 48% off"
"AWo0iLSDM263mwCq50r8","2019-04-19","2019-04-19T07:08:26Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Stretch Pu and Black Matte","Adore-3000, 6 1/2'' Plain Stretch Thigh Boot",,"Online only"
"AWo0hOG_AGTnQPR7rAj4","2019-04-19","2019-04-19T07:08:26Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Stretch Pu and Black Matte","Adore-3000, 6 1/2'' Plain Stretch Thigh Boot",,"Online only"
"AWo0hqMuJbEilcB6MTXm","2019-04-19","2019-04-19T07:08:25Z","Pleaser","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black PU","Women's Pleaser Seduce 3010",,"Online only"
"AWo0e-i2JbEilcB6MSFa","2019-04-19","2019-04-19T07:08:25Z","Pleaser","Womens Shoes,Clothing,All Womens Shoes,Shoes","Red Patent","Women's Pleaser Seduce 3010",,"Online only"
"AWo0ihEmAGTnQPR7rBON","2019-04-19","2019-04-19T07:08:25Z","Pleaser","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black Patent","Women's Pleaser Seduce 3010",,"Online only"
"AWo0f962AGTnQPR7q_9c","2019-04-19","2019-04-19T07:08:24Z","Pleaser","Womens Shoes,Clothing,All Womens Shoes,Shoes","Hot Pink Patent","Women's Pleaser Seduce 3010",,"Online only"
"AWo0gZ-oJbEilcB6MSvl","2019-04-19","2019-04-19T07:08:24Z","Pleaser","Womens Shoes,Clothing,All Womens Shoes,Shoes","Hot Pink Patent","Women's Pleaser Seduce 3010",,"Online only"
"AWo0hszLJbEilcB6MTY8","2019-04-19","2019-04-19T07:08:23Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black/Black","Women's Pleaser Kiss 3010",,"Online only"
"AWo0e3TjAGTnQPR7q_dO","2019-04-19","2019-04-19T07:08:23Z","Pleaser","Womens Shoes,Clothing,All Womens Shoes,Shoes","Hot Pink Patent","Women's Pleaser Seduce 3010",,"Online only"
"AWo0l0IPAGTnQPR7rBq2","2019-04-19","2019-04-19T07:08:23Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black/Black","Women's Pleaser Kiss 3010",,"Online only"
"AWo0grBuAGTnQPR7rASm","2019-04-19","2019-04-19T07:08:22Z","Fergalicious","Clothing,Shoes,Womens Shoes,All Womens Shoes","Doe Oiled Fabric","Fergalicious Women's Tender Knee High Boot",,"Online only"
"AWo0gF5tAGTnQPR7rAAp","2019-04-19","2019-04-19T07:08:22Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Stretch PU","women's pleaser indulge 3063",,"Online only"
"AWo0fMTW0U_gzG0heyqb","2019-04-19","2019-04-19T07:08:22Z","Fergalicious","Clothing,Shoes,Womens Shoes,All Womens Shoes","Tan Oiled Fabric","Fergalicious Women's Tender Knee High Boot",,"Online only: 40% off"
"AWo0f5-HJbEilcB6MShc","2019-04-19","2019-04-19T07:08:22Z","L'Artiste by Spring Step","Clothing,Shoes,Womens Shoes,All Womens Shoes","Purple Multi Leather","Women's L'Artiste by Spring Step Ahitop Sneaker",,"Online only"
"AWo0g1B2JbEilcB6MS9J","2019-04-19","2019-04-19T07:08:21Z","Funtasma","Womens Shoes,Clothing,All Womens Shoes,Shoes","Neon Hot Pink Stretch Patent","Women's Funtasma Gogo 300UV",,"Online only"
"AWo0fgrMM263mwCq5zcu","2019-04-19","2019-04-19T07:08:21Z","pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Stretch Polyurethane/Black Matte","women's pleaser electra 3000z",,"Online only"
"AWo0gKQTM263mwCq5zuh","2019-04-19","2019-04-19T07:08:21Z","L'Artiste by Spring Step","Clothing,Shoes,Womens Shoes,All Womens Shoes","Green Multi Leather","Women's L'Artiste by Spring Step Avonora Slingback",,"Online only"
"AWo0go3NM263mwCq5z9R","2019-04-19","2019-04-19T07:08:20Z","Funtasma","Womens Shoes,Clothing,All Womens Shoes,Shoes","Neon Orange Stretch Patent","Women's Funtasma Gogo 300UV",,"Online only"
"AWo0icMhM263mwCq501N","2019-04-19","2019-04-19T07:08:20Z","Funtasma","Clothing,Shoes,Womens Shoes,All Womens Shoes","White Stretch Patent","Women's Funtasma Gogo 150 Ankle Boot",,"Online only"
"AWo0kIb4JbEilcB6MUCs","2019-04-19","2019-04-19T07:08:20Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Patent","Women's Pleaser Seduce 431",,"Online only"
"AWo0g6ytM263mwCq50GG","2019-04-19","2019-04-19T07:08:20Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Patent","Women's Pleaser Seduce 431",,"Online only"
"AWo0feYiM263mwCq5zbu","2019-04-19","2019-04-19T07:08:18Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","White Faux Leather/White","Women's Pleaser Adore 1016 Open-Toe Bootie",,"Online only"
"AWo0e5fSM263mwCq5zKH","2019-04-19","2019-04-19T07:08:17Z","pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Patent/Blue Multi Glitter","women's pleaser adore 1020lg platform ankle boot",,"Online only"
"AWo0g3kl0U_gzG0hezan","2019-04-19","2019-04-19T07:08:17Z","Genuine Grip","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black Soft Full Grain Leather","Genuine Grip Women's Black Casual Oxford Shoe",,"Online only: 24% off"
"AWo0fGklJbEilcB6MSJ_","2019-04-19","2019-04-19T07:08:16Z","pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Patent/Purple Multi Glitter","women's pleaser adore 1020lg platform ankle boot",,"Online only"
"AWo0fSjPM263mwCq5zXn","2019-04-19","2019-04-19T07:08:16Z","pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Patent/Silver Multi Glitter","women's pleaser adore 1020lg platform ankle boot",,"Online only"
"AWo0jjNPAGTnQPR7rBYB","2019-04-19","2019-04-19T07:08:14Z","PleaserUSA","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Vegan Leather","SWING-105, 5 1/2'' Platform Ankle Boot",,"Online only"
"AWo0fOtEM263mwCq5zWA","2019-04-19","2019-04-19T07:08:14Z","Genuine Grip","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","Women's Genuine Grip Footwear Slip-Resistant Slip-on Zipper",,"Online only: 24% off"
"AWo0l5q2AGTnQPR7rBrl","2019-04-19","2019-04-19T07:08:14Z","Genuine Grip","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","Women's Genuine Grip Footwear Slip-Resistant Slip-on Zipper",,"Online only: 24% off"
"AWo0gXMEJbEilcB6MSuJ","2019-04-19","2019-04-19T07:08:14Z","PleaserUSA","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Vegan Leather","SWING-105, 5 1/2'' Platform Ankle Boot",,"Online only"
"AWo0lT8f0U_gzG0he0lI","2019-04-19","2019-04-19T07:08:13Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","White Stretch Pu","Women's Pleaser Electra 2000Z",,"Online only"
"AWo0ikM00U_gzG0he0PN","2019-04-19","2019-04-19T07:08:12Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Stretch PU","Women's Pleaser Electra 2000Z",,"Online only"
"AWo0hlkcM263mwCq50a5","2019-04-19","2019-04-19T07:08:07Z","Brinley Co.","Womens Shoes,Clothing,All Womens Shoes,Shoes","Rose","Comfort Womens Distressed Caged Bootie",,"Online only: 41% off"
"AWo0mMusM263mwCq51Xb","2019-04-19","2019-04-19T07:08:07Z","Brinley Co.","Womens Shoes,Clothing,All Womens Shoes,Shoes","Taupe","Comfort Womens Distressed Caged Bootie",,"Online only: 41% off"
"AWo0h6fiM263mwCq50lS","2019-04-19","2019-04-19T07:08:06Z","Brinley Co.","Womens Shoes,Clothing,All Womens Shoes,Shoes","Rose","Comfort Womens Distressed Caged Bootie",,"Online only: 41% off"
"AWo0iESIJbEilcB6MTkO","2019-04-19","2019-04-19T07:08:06Z","Brinley Co.","Womens Shoes,Clothing,All Womens Shoes,Shoes","Grey","Comfort Womens Distressed Caged Bootie",,"Online only: 41% off"
"AWo0ew4oAGTnQPR7q_bs","2019-04-19","2019-04-19T07:08:06Z","carlos-by-carlos-santana","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","women's carlos by carlos santana sterling bootie",,"Online only"
"AWo0g4Wa0U_gzG0hezbE","2019-04-19","2019-04-19T07:08:05Z","Bar III","Clothing,Shoes,Womens Shoes,All Womens Shoes","Banana Bread","Bar III Dove Women's Boots",,"Online only"
"AWo0hllu0U_gzG0hezxv","2019-04-19","2019-04-19T07:08:05Z","Carlos by Carlos Santana","Clothing,Shoes,Womens Shoes,All Womens Shoes","Azalea Suede","Women's Carlos by Carlos Santana Teagan Thong Sandal",,"Online only"
"AWo0h1GTM263mwCq50i3","2019-04-19","2019-04-19T07:08:05Z","Brinley Co.","Womens Shoes,Clothing,All Womens Shoes,Shoes","Grey","Comfort Womens Distressed Caged Bootie",,"Online only: 41% off"
"AWo0gdsZJbEilcB6MSxD","2019-04-19","2019-04-19T07:08:03Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","Trotters Women's Snowflake III Boot,Grey,6.5 N US",,"Online only"
"AWo0mnLPJbEilcB6MUWr","2019-04-19","2019-04-19T07:08:02Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Cognac Faux Suede/Faux Leather","Trotters Women's Snowflake III Boot,Grey,6.5 N US",,"Online only"
"AWo0meytJbEilcB6MUVS","2019-04-19","2019-04-19T07:08:01Z","Propet","Clothing,Shoes,Womens Shoes,All Womens Shoes","Indigo","Women's Propet STEPHANIE Velour Oxfords RED 7 D",,"Online only"
"AWo0giqqM263mwCq5z6A","2019-04-19","2019-04-19T07:08:01Z","Propet","Clothing,Shoes,Womens Shoes,All Womens Shoes","Bronze, Pewter","Women's Propet VIOLET Strap Sandals BRONZE 11 D",,"Online only"
"AWo0f8tE0U_gzG0hey9d","2019-04-19","2019-04-19T07:08:01Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dark Grey Leather","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only: 52% off"
"AWo0hM1tJbEilcB6MTI1","2019-04-19","2019-04-19T07:08:01Z","Propet","Clothing,Shoes,Womens Shoes,All Womens Shoes","Red","Women's Propet STEPHANIE Velour Oxfords RED 7 D",,"Online only"
"AWo0gY4GM263mwCq5z1S","2019-04-19","2019-04-19T07:08:01Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dark Grey Leather","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only"
"AWo0icZVM263mwCq501U","2019-04-19","2019-04-19T07:08:01Z","Propet","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Women's Propet STEPHANIE Velour Oxfords RED 7 D",,"Online only"
"AWo0hi7OJbEilcB6MTTk","2019-04-19","2019-04-19T07:08:01Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Suede","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only"
"AWo0haMzJbEilcB6MTPy","2019-04-19","2019-04-19T07:08:00Z","Propet","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Women's Propet STEPHANIE Velour Oxfords RED 7 D",,"Online only"
"AWo0fjTqJbEilcB6MSXb","2019-04-19","2019-04-19T07:08:00Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dark Grey Leather","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only"
"AWo0gW_oM263mwCq5z0S","2019-04-19","2019-04-19T07:08:00Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Leather","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only"
"AWo0ew_2AGTnQPR7q_bw","2019-04-19","2019-04-19T07:08:00Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only"
"AWo0iUvfAGTnQPR7rBFU","2019-04-19","2019-04-19T07:08:00Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dark Grey Leather","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only"
"AWo0h5K5M263mwCq50kt","2019-04-19","2019-04-19T07:08:00Z","Propet","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Women's Propet STEPHANIE Velour Oxfords RED 7 D",,"Online only"
"AWo0hQoUAGTnQPR7rAlM","2019-04-19","2019-04-19T07:08:00Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Suede","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only"
"AWo0ilaBM263mwCq507K","2019-04-19","2019-04-19T07:08:00Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dark Grey Leather","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only"
"AWo0hrIvAGTnQPR7rAzF","2019-04-19","2019-04-19T07:07:58Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","Women's Trotters Blast III Boot",,"Online only"
"AWo0h1g-AGTnQPR7rA4I","2019-04-19","2019-04-19T07:07:58Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Patent Suede Lizard Leather/Stretch","women's trotters jaxson too",,"Online only"
"AWo0fmma0U_gzG0hey01","2019-04-19","2019-04-19T07:07:58Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Clear and Black Multi Glitter","FLAMINGO-808GF, 8'' Heel 4'' Glitter Filled Platform Ankle Strap Sandal",,"Online only"
"AWo0mDhD0U_gzG0he0rg","2019-04-19","2019-04-19T07:07:58Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Patent Suede Lizard Leather/Stretch","women's trotters jaxson too",,"Online only"
"AWo0fFVn0U_gzG0heymf","2019-04-19","2019-04-19T07:07:57Z","pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Stretch Polyurethane/Black Matte","women's pleaser electra 3000z",,"Online only"
"AWo0gHXJAGTnQPR7rABV","2019-04-19","2019-04-19T07:07:57Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dark Brown Rubberized PU/Ballistic Nylon/Faux Fur","women's trotters bowen tall waterproof boot",,"Online only"
"AWo0kapXAGTnQPR7rBgF","2019-04-19","2019-04-19T07:07:57Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","Women's Trotters Blast III Boot",,"Online only"
"AWo0iFB5JbEilcB6MTkc","2019-04-19","2019-04-19T07:07:56Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Chestnut Nubuck Waterproof Polyurethane/Faux Fur","women's trotters below zero waterproof ankle boot",,"Online only: 40% off"
"AWo0g8ziAGTnQPR7rAcE","2019-04-19","2019-04-19T07:07:56Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dark Brown Rubberized PU/Ballistic Nylon/Faux Fur","women's trotters bowen tall waterproof boot",,"Online only"
"AWo0g3ALAGTnQPR7rAY_","2019-04-19","2019-04-19T07:07:56Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","women's trotters bowen tall waterproof boot",,"Online only"
"AWo0hrzEM263mwCq50ep","2019-04-19","2019-04-19T07:07:56Z","SAS","Clothing,Shoes,Womens Shoes,All Womens Shoes","OLIVE","Women's SAS, Delight High Heel Wedge Sandals",,"Online only"
"AWo0fPl2AGTnQPR7q_p0","2019-04-19","2019-04-19T07:07:55Z","SAS","Clothing,Shoes,Womens Shoes,All Womens Shoes","OLIVE","Women's SAS, Delight High Heel Wedge Sandals",,"Online only"
"AWo0gjcqM263mwCq5z6X","2019-04-19","2019-04-19T07:07:55Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Chestnut Nubuck Waterproof Polyurethane/Faux Fur","women's trotters below zero waterproof ankle boot",,"Online only"
"AWo0hSJ80U_gzG0heznl","2019-04-19","2019-04-19T07:07:55Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Smooth Waterproof Polyurethane/Faux Fur","women's trotters below zero waterproof ankle boot",,"Online only"
"AWo0ilcXAGTnQPR7rBQx","2019-04-19","2019-04-19T07:07:54Z","SAS","Clothing,Shoes,Womens Shoes,All Womens Shoes","BRONZE BROWN","Women's SAS, Coco Slip on Flats",,"Online only"
"AWo0f485JbEilcB6MSg7","2019-04-19","2019-04-19T07:07:54Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Nubuck Waterproof Polyurethane/Faux Fur","women's trotters below zero waterproof ankle boot",,"Online only"
"AWo0hF0uAGTnQPR7rAgx","2019-04-19","2019-04-19T07:07:54Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Chestnut Nubuck Waterproof Polyurethane/Faux Fur","women's trotters below zero waterproof ankle boot",,"Online only: 40% off"
"AWo0kw340U_gzG0he0hA","2019-04-19","2019-04-19T07:07:54Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","women's trotters below zero waterproof ankle boot",,"Online only: 40% off"
"AWo0e5q80U_gzG0heygA","2019-04-19","2019-04-19T07:07:54Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Chestnut Nubuck Waterproof Polyurethane/Faux Fur","women's trotters below zero waterproof ankle boot",,"Online only"
"AWo0gPuJJbEilcB6MSqR","2019-04-19","2019-04-19T07:07:53Z","SAS","Clothing,Shoes,Womens Shoes,All Womens Shoes","GREY BLACK","Women's SAS, Coco Slip on Flats",,"Online only"
"AWo0ihhjAGTnQPR7rBOe","2019-04-19","2019-04-19T07:07:53Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Smooth Waterproof Polyurethane/Faux Fur","women's trotters below zero waterproof ankle boot",,"Online only: 40% off"
"AWo0jzGoJbEilcB6MT_X","2019-04-19","2019-04-19T07:07:52Z","SAS","Clothing,Shoes,Womens Shoes,All Womens Shoes","OLIVE","Women's SAS, Delight High Heel Wedge Sandals",,"Online only"
"AWo0f3ZW0U_gzG0hey6-","2019-04-19","2019-04-19T07:07:52Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","women's trotters below zero waterproof ankle boot",,"Online only"
"AWo0hCmDAGTnQPR7rAfD","2019-04-19","2019-04-19T07:07:52Z","SAS","Clothing,Shoes,Womens Shoes,All Womens Shoes","BRONZE","Women's SAS Capri Sandals",,"Online only"
"AWo0fwMyAGTnQPR7q_3S","2019-04-19","2019-04-19T07:07:52Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Chestnut Nubuck Waterproof Polyurethane/Faux Fur","women's trotters below zero waterproof ankle boot",,"Online only: 40% off"
"AWo0hT88JbEilcB6MTMh","2019-04-19","2019-04-19T07:07:52Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","women's trotters below zero waterproof ankle boot",,"Online only: 40% off"
"AWo0ijHzAGTnQPR7rBPi","2019-04-19","2019-04-19T07:07:52Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","women's trotters below zero waterproof ankle boot",,"Online only"
"AWo0klAO0U_gzG0he0f4","2019-04-19","2019-04-19T07:07:51Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Nubuck Waterproof Polyurethane/Faux Fur","women's trotters below zero waterproof ankle boot",,"Online only"
"AWo0gjhzJbEilcB6MS0J","2019-04-19","2019-04-19T07:07:51Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Smooth Waterproof Polyurethane/Faux Fur","women's trotters below zero waterproof ankle boot",,"Online only"
"AWo0fW1N0U_gzG0heyun","2019-04-19","2019-04-19T07:07:50Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Waxy Faux Leather/Plain Quilted","trotters women's blast iii boot,black quill,11 n us",,"Online only: 50% off"
"AWo0hpUL0U_gzG0hezzi","2019-04-19","2019-04-19T07:07:50Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Box Synthetic/Rubber","trotters women's blast iii boot,black quill,11 n us",,"Online only: 50% off"
"AWo0k82oJbEilcB6MUIh","2019-04-19","2019-04-19T07:07:49Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Sequins/Black","Women's Pleaser Blondie R-3011",,"Online only"
"AWo0koOWM263mwCq51L5","2019-04-19","2019-04-19T07:07:49Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Neon Hot Pink Faux Leather/Neon Hot Pink","Women's Pleaser Delight 2019-3 Open-Toe Fringe Boot",,"Online only"
"AWo0m2c80U_gzG0he0yd","2019-04-19","2019-04-19T07:07:48Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Box Synthetic/Rubber","trotters women's blast iii boot,black quill,11 n us",,"Online only: 50% off"
